Episode,Reward,Loss,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
130,-1274451.5,1160545.1766979166,2935255.0,1039.0283185840708,193176,2825,1902,0,1098
131,-1430982.0,1121631.19275,3226152.0,1185.2138133725202,182094,2722,2080,0,920
132,-1396008.0,1135058.1708020833,3148302.0,1167.3348164627364,178143,2697,2004,0,996
133,-1408215.5,1129121.0499791666,3169403.0,1179.5321920357276,176486,2687,2085,0,915
134,-1409056.5,1150889.4748229166,3177243.0,1196.7016949152542,179565,2655,2042,0,958
135,-1383184.5,1115110.82953125,3124313.0,1175.4375470278405,178972,2658,1932,0,1068
136,-1267700.5,1134354.47421875,2908901.0,1045.9910104279036,186750,2781,1993,0,1007
137,-1454214.5,1138021.1591666667,3288977.0,1183.085251798561,190274,2780,2020,0,980
138,-1414136.0,1119766.81540625,3211018.0,1127.8602037232174,191373,2847,1983,0,1017
139,-1551208.0,1090577.8902604168,3466768.0,1287.8038632986627,182176,2692,2026,0,974
140,-1551572.0,1062846.22928125,3472878.0,1251.9387166546503,184867,2774,2039,0,961
141,-1562077.5,1057549.4573958332,3499531.0,1234.4024691358024,187688,2835,2077,0,923
142,-1424627.0,1077823.157375,3216086.0,1155.2033045977012,183416,2784,2063,0,937
143,-1421033.0,1119565.4648958333,3204342.0,1183.7244181751016,181138,2707,1964,0,1036
144,-1395725.0,1101267.6693958333,3165704.0,1135.8823107283818,187127,2787,2244,0,756
145,-1458837.5,1091473.5177708333,3268507.0,1238.5399772641151,175416,2639,2070,0,930
146,-1387224.0,1035288.29071875,3139912.0,1149.3089311859444,182732,2732,2047,0,953
147,-1426235.5,1060239.8925625,3211755.0,1177.3295454545455,179642,2728,2026,0,974
148,-1433733.5,1032179.98915625,3228635.0,1191.8180140273164,180584,2709,1985,0,1015
149,-1459510.5,990373.54115625,3282593.0,1179.9399712437096,181786,2782,2098,0,902
150,-1478863.0,975816.7196145833,3306386.0,1238.3468164794008,174330,2670,2160,0,840
151,-1591205.0,1001026.9958854166,3537210.0,1313.483104344597,177400,2693,2137,0,863
152,-1564213.5,1009519.7139791667,3478977.0,1344.2724111282844,175275,2588,2068,0,932
153,-1385261.5,1008227.8544479166,3137243.0,1137.9191149800508,183360,2757,1989,0,1011
154,-1447062.0,1018663.7934479166,3261022.0,1198.9051470588236,183449,2720,1972,0,1028
155,-1358405.0,1025843.5014583333,3087536.0,1109.8260244428468,185363,2782,2156,0,844
156,-1706027.5,1019908.0941875,3762481.0,1377.6935188575612,175213,2731,1968,0,1032
157,-1881648.5,1118053.8136666666,4137231.0,1461.919081272085,186967,2830,2101,0,899
158,-1533974.5,1214810.4204375,3421009.0,1315.7726923076923,176530,2600,2015,0,985
159,-1657706.5,1251502.4508541666,3689987.0,1353.1305463879721,187287,2727,1957,0,1043
160,-1597965.5,1268413.5154895834,3573939.0,1284.6653486700216,189004,2782,2084,0,916
161,-1266321.5,1187659.8185104167,2909931.0,1038.519271948608,188644,2802,2309,0,691
162,-1561966.0,1158224.9647291666,3487020.0,1280.1101321585902,181544,2724,2176,0,824
163,-1627300.5,1123433.6595625,3618413.0,1316.7441775836971,181906,2748,2103,0,897
164,-1355046.5,1086262.5687708333,3077763.0,1115.5357013410655,183835,2759,1970,0,1030
165,-1292335.5,1059970.8778645834,2978111.0,1055.3192771084337,196720,2822,2076,0,924
166,-1530160.0,1059032.6159479166,3450740.0,1202.7675148135238,195210,2869,2130,0,870
167,-1272513.5,1031792.6794583333,2923741.0,1046.8102398854278,189357,2793,1875,0,1125
168,-1339059.5,1009683.584625,3055291.0,1086.132598649129,188586,2813,2043,0,957
169,-1594795.5,960017.1373020833,3557701.0,1287.622511762577,184055,2763,1932,0,1068
170,-1330620.5,914954.718625,3036077.0,1087.0307912638739,187418,2793,2129,0,871
171,-1405004.0,962883.96584375,3187806.0,1140.1309012875536,188899,2796,2116,0,884
172,-1835734.5,1086307.1137291666,4045101.0,1461.9085652331044,186816,2767,2117,0,883
173,-1538012.5,1215299.1084479166,3423543.0,1301.2326111744583,173759,2631,2054,0,946
174,-1576107.0,1196131.9910729167,3516432.0,1280.099017109574,182109,2747,1816,0,1184
175,-1638172.0,1153781.4185208334,3639582.0,1318.6891304347826,181619,2760,1916,0,1084
176,-1598075.5,1043630.2445625,3572559.0,1276.825947105075,188204,2798,1895,0,1105
177,-1392694.0,1048972.20096875,3162306.0,1135.4779174147218,188459,2785,2214,0,786
178,-1291927.0,998195.62709375,2965866.0,1054.717638691323,191006,2812,2123,0,877
179,-1303443.0,993965.4630208333,2990422.0,1053.3363860514266,191768,2839,2154,0,846
180,-1454383.5,995781.0615833333,3290725.0,1171.9106125356125,190979,2808,2106,0,894
181,-1361176.5,997657.38878125,3101741.0,1108.5564689063617,189694,2798,2119,0,881
182,-1433510.5,1010373.9199895833,3254805.0,1175.8688583815028,193892,2768,2200,0,800
183,-1563721.5,1047022.4132604167,3507329.0,1303.8397769516728,189943,2690,2237,0,763
184,-1592272.0,1119409.661125,3560338.0,1322.5624071322436,187897,2692,1879,0,1121
185,-1571176.0,1189114.1948125,3508092.0,1302.187082405345,182870,2694,2092,0,908
186,-1438362.5,1144493.6728958334,3239001.0,1171.4289330922243,181138,2765,2008,0,992
187,-1514549.0,1122680.4653958334,3400996.0,1226.025955299207,185949,2774,2258,0,742
188,-1353701.5,1020786.07240625,3090755.0,1095.6238922367954,191676,2821,2234,0,766
189,-1374595.0,984912.35646875,3131718.0,1147.9904692082112,191264,2728,1954,0,1046
190,-1508660.5,959650.3979270833,3393629.0,1251.7997049059388,188154,2711,1967,0,1033
191,-1461929.5,920277.30528125,3287335.0,1224.7894932935917,181738,2684,2044,0,956
192,-1738009.0,875736.3142083334,3821602.0,1436.6924812030074,172792,2660,2133,0,867
193,-1414162.5,862368.4653229166,3198385.0,1182.8346893491125,185030,2704,2121,0,879
194,-1381430.0,842397.8356666666,3147530.0,1121.314570716067,192335,2807,2111,0,889
195,-1469959.0,859443.4035625,3313094.0,1174.8560283687943,186588,2820,2196,0,804
196,-1478207.0,937576.4457708333,3346910.0,1186.426799007444,195248,2821,2281,0,719
197,-1343715.0,1012546.2633020834,3063482.0,1111.9716878402903,188026,2755,1964,0,1036
198,-1359032.0,979560.3579791667,3084802.0,1129.1368960468521,183369,2732,1860,0,1140
199,-1311371.0,949478.815,2996890.0,1090.9683290862758,187074,2747,1857,0,1143
200,-1440546.0,848357.7507083333,3263806.0,1182.9670170351576,191357,2759,1954,0,1046
201,-1515715.0,893892.4150208334,3408836.0,1216.1384231180878,188703,2803,2100,0,900
202,-1391011.0,919995.7469375,3151556.0,1157.383767903048,184767,2723,1903,0,1097
203,-1432242.0,899588.5743645834,3229728.0,1194.4260355029585,182622,2704,2028,0,972
204,-1229567.5,864674.4246875,2838571.0,1012.6903317873707,189718,2803,2034,0,966
205,-1310295.5,809087.4698125,2996089.0,1063.952059659091,187749,2816,2103,0,897
206,-1194228.5,818574.6795833333,2772943.0,986.4614016364283,192243,2811,2175,0,825
207,-1302070.0,861903.2493854166,2991838.0,1071.9591544249372,193849,2791,2035,0,965
208,-1318834.0,898038.70390625,3023858.0,1078.4087018544935,193095,2804,1929,0,1071
209,-1308610.0,877145.5012395834,2997798.0,1063.0489361702128,190289,2820,2126,0,874
210,-1372777.5,855008.9043541667,3132877.0,1116.0944068400427,193661,2807,2245,0,755
211,-1396361.5,790293.99678125,3163653.0,1104.6274441340781,185465,2864,2257,0,743
212,-1551379.5,793455.9945729167,3484349.0,1273.9850091407677,190795,2735,2008,0,992
213,-1576445.5,805905.4669270833,3521375.0,1275.398406374502,184242,2761,2126,0,874
214,-1647711.0,813135.9238333333,3665462.0,1360.6020786933927,185020,2694,2226,0,774
215,-1549962.5,837124.43453125,3488809.0,1221.5717787114845,194442,2856,2174,0,826
216,-1412153.5,852933.2319375,3199827.0,1141.1651212553495,187760,2804,2190,0,810
217,-1461554.5,834545.3470208333,3292355.0,1204.667032564947,184623,2733,1987,0,1013
218,-1377621.0,776514.2126041667,3122254.0,1140.3411249086926,183506,2738,1955,0,1045
219,-1423865.5,712120.4297916667,3223445.0,1154.942672877105,187857,2791,2054,0,946
220,-1531895.0,702364.17,3446778.0,1236.290530846485,191494,2788,2099,0,901
221,-1353642.0,733998.68625,3094986.0,1112.9039913700108,193851,2781,2235,0,765
