Episode,Reward,WaitingTime,AvgWaitingPerVehicle,Throughput,TotalVehicles,GreenTime,RedTime,YellowTime
187,-1389044.5,3187839.0,1126.0469798657718,204875,2831,2017,0,983
188,-1458633.5,3331433.0,1151.947786998617,207083,2892,2052,0,948
189,-1225119.5,2859173.0,976.4935109289618,204467,2928,2095,0,905
190,-1369704.0,3157978.0,1094.2404712404712,209285,2886,1983,0,1017
191,-1547567.5,3508087.0,1199.7561559507524,206476,2924,1989,0,1011
192,-1293768.5,3011109.0,1024.1867346938775,211786,2940,2004,0,996
193,-1447260.0,3312088.0,1126.943858455257,208784,2939,1959,0,1041
194,-1479219.0,3375590.0,1161.593255333792,208576,2906,1978,0,1022
195,-1360028.0,3140838.0,1068.312244897959,210391,2940,2007,0,993
196,-1509037.5,3434057.0,1184.1575862068964,207991,2900,1973,0,1027
197,-1425948.0,3273322.0,1112.9962597755866,210713,2941,1998,0,1002
198,-1378097.5,3179785.0,1071.3561320754718,211795,2968,1985,0,1015
199,-1469140.0,3358532.0,1156.5192837465565,210126,2904,1984,0,1016
200,-4415637.0,9207902.0,3444.7818930041153,188314,2673,1926,0,1074
201,-1181039.0,2776802.0,952.5907375643225,207362,2915,2030,0,970
202,-1244457.0,2887028.0,1002.7884682181312,199057,2879,1977,0,1023
203,-1254207.5,2917127.0,1013.5952050034747,204356,2878,1954,0,1046
204,-1233550.5,2884923.0,981.6002041510718,208911,2939,1933,0,1067
205,-1313653.5,3040567.0,1062.3923829489868,206630,2862,1947,0,1053
206,-1357212.0,3135626.0,1094.4593368237347,210601,2865,1949,0,1051
207,-1272481.0,2958978.0,1040.794231445656,207008,2843,1916,0,1084
208,-1235991.0,2890680.0,1011.7885894294715,209349,2857,1889,0,1111
209,-1230609.5,2876477.0,1006.4650104968509,207629,2858,1903,0,1097
210,-1417804.0,3254268.0,1149.9180212014135,209330,2830,1906,0,1094
211,-1225897.0,2872250.0,1001.4818688981869,210228,2868,1915,0,1085
212,-1303762.5,3039193.0,1037.9757513661202,215834,2928,1906,0,1094
213,-1245471.5,2907457.0,1006.3887158186224,208257,2889,1972,0,1028
214,-1365367.0,3161426.0,1095.0557672324212,215346,2887,1975,0,1025
215,-1184430.0,2799982.0,972.5536644668288,215561,2879,1902,0,1098
216,-1492795.0,3410964.0,1178.633033863165,212687,2894,1906,0,1094
217,-1414466.0,3267506.0,1126.337814546708,219287,2901,1879,0,1121
218,-1487983.0,3404000.0,1183.1769204031978,214017,2877,1941,0,1059
219,-1441023.5,3302167.0,1153.796995108316,210060,2862,1896,0,1104
220,-1303649.0,3039156.0,1051.9750778816199,215929,2889,1921,0,1079
221,-5330214.5,11043435.0,4258.941380640185,191503,2593,1967,0,1033
222,-1587983.0,3589894.0,1276.1798791325987,206964,2813,1868,0,1132
223,-1321063.0,3081394.0,1068.8151231356226,219634,2883,1901,0,1099
224,-1495978.0,3415816.0,1189.7652385928247,211930,2871,1906,0,1094
225,-1379440.0,3183536.0,1122.5444287729197,212328,2836,1875,0,1125
226,-1517502.0,3453466.0,1192.0835346910596,209231,2897,1897,0,1103
227,-1634563.5,3674843.0,1280.8794004879749,202858,2869,1866,0,1134
228,-1637264.5,3687163.0,1304.7285916489739,206317,2826,1850,0,1150
229,-1521046.5,3458467.0,1205.8811018131103,208187,2868,1888,0,1112
230,-1538878.5,3486763.0,1231.636524196397,204503,2831,1841,0,1159
231,-9887623.0,20111048.0,8623.948542024014,167901,2332,1936,0,1064
232,-1586236.5,3581997.0,1264.3829862336745,204762,2833,1881,0,1119
233,-1613087.5,3636683.0,1290.5191625266145,205254,2818,1799,0,1201
234,-1547734.0,3502122.0,1253.8925886143932,203327,2793,1752,0,1248
235,-1592731.0,3606724.0,1251.0315643426986,210631,2883,1791,0,1209
236,-1634543.5,3674677.0,1312.8535191139692,202795,2799,1826,0,1174
237,-1542318.5,3506529.0,1210.8180248618785,210946,2896,1866,0,1134
238,-1871574.0,4149796.0,1467.915104350902,203324,2827,1868,0,1132
239,-1634951.0,3685288.0,1296.2673232500879,207693,2843,1848,0,1152
240,-1509664.0,3436146.0,1203.553765323993,208409,2855,1874,0,1126
241,-1478324.5,3386453.0,1182.008027923211,214902,2865,1872,0,1128
242,-1676898.0,3763646.0,1303.2015235457063,204925,2888,1883,0,1117
243,-1576232.0,3576134.0,1235.2794473229706,211835,2895,1885,0,1115
244,-1533855.5,3487669.0,1231.0868337451466,209979,2833,1818,0,1182
245,-1478037.5,3376879.0,1158.4490566037737,210402,2915,1874,0,1126
246,-1620096.0,3650830.0,1274.7311452513966,205319,2864,1897,0,1103
247,-1677406.5,3758043.0,1315.8413865546217,201615,2856,1863,0,1137
248,-1563208.0,3535186.0,1244.345652939106,204385,2841,1872,0,1128
249,-1412207.0,3241350.0,1136.5182328190742,208468,2852,1858,0,1142
250,-1592258.5,3588523.0,1233.593331041595,202003,2909,1850,0,1150
